transaction_id,store_id,customer_id,product_category,payment_method,sales_amount,transaction_time,ingestion_time
100001,S001,C1001,Electronics,Credit Card,1299.99,2026-06-01 10:15:00,2026-06-01 10:17:08
100002,S001,C1002,Grocery,UPI,185.5,2026-06-01 10:18:00,2026-06-01 10:18:25
100003,S002,C1003,Fashion,Cash,2499.0,2026-06-01 10:22:00,2026-06-01 10:22:41
100004,S003,C1004,Home Decor,Credit Card,899.0,2026-06-01 10:35:00,2026-06-01 10:36:02
100005,S002,C1005,Electronics,Debit Card,7499.0,2026-06-01 10:48:00,2026-06-01 10:48:44
100006,S001,C1006,Grocery,UPI,420.75,2026-06-01 11:02:00,2026-06-01 11:02:19
100007,S004,C1007,Fashion,Credit Card,1599.0,2026-06-01 11:15:00,2026-06-01 11:15:55
100008,S003,C1008,Electronics,Net Banking,18999.0,2026-06-01 11:30:00,2026-06-01 11:31:20
100009,S005,C1009,Grocery,Cash,275.0,2026-06-01 11:45:00,2026-06-01 11:45:33
100010,S002,C1010,Beauty,UPI,699.0,2026-06-01 12:00:00,2026-06-01 12:00:48
100011,S004,C1011,Electronics,Credit Card,9999.0,2026-06-01 12:14:00,2026-06-01 12:14:35
100012,S001,C1012,Home Decor,Debit Card,1499.0,2026-06-01 12:30:00,2026-06-01 12:30:56
100013,S005,C1013,Fashion,UPI,2199.0,2026-06-01 12:45:00,2026-06-01 12:45:27
100014,S003,C1014,Grocery,Credit Card,315.0,2026-06-01 13:05:00,2026-06-01 13:05:41
100015,S002,C1015,Electronics,Debit Card,45999.0,2026-06-01 13:20:00,2026-06-01 13:20:54
